timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,37.55677819252014,3,"[0, 0]",37.56481623649597,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, 1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,38.66858673095703,3,"[0, 0]",38.67387318611145,2,"[[2.0, 3.0, 1.57, 1], [2.0, 4.0, -0.0, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 7.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,33.91682028770447,3,"[0, 0]",33.921650648117065,3,"[[2.0, 4.0, -0.0, 2], [3.0, 4.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
3,37.56494760513306,3,"[0, 0]",37.57335352897644,4,"[[3.0, 4.0, 0.0, 3], [4.0, 4.0, 0.0, 4]]","[[2.0, 7.0, -0.0, 3], [3.0, 7.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
4,20.762431144714355,2,"[0, 0]",20.76842427253723,5,"[[4.0, 4.0, 0.0, 4], [5.0, 4.0, 0.0, 5]]","[[3.0, 7.0, 0.0, 4], [5.0, 7.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,12.184798955917358,2,"[0, 0]",12.191677570343018,6,"[[5.0, 4.0, 0.0, 5], [6.0, 4.0, -1.57, 6]]","[[4.0, 7.0, 0.0, 5], [6.0, 7.0, -1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
0,77.5787250995636,6,"[0, 0]",77.58405208587646,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,59.57399082183838,5,"[0, 0]",59.57903265953064,2,"[[2.0, 3.0, 1.57, 1], [2.0, 4.0, -0.0, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 6.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,58.443042278289795,5,"[0, 0]",58.44795489311218,3,"[[2.0, 4.0, -0.0, 2], [3.0, 4.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,5
3,44.88274121284485,4,"[0, 0]",44.88762354850769,4,"[[3.0, 4.0, 0.0, 3], [4.0, 4.0, -1.57, 4]]","[[2.0, 7.0, -0.0, 3], [3.0, 7.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,5
4,28.476090669631958,3,"[0, 0]",28.480639219284058,5,"[[4.0, 4.0, 0.0, 4], [5.0, 4.0, 1.57, 5]]","[[3.0, 7.0, 0.0, 4], [4.0, 7.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,5
